,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,liveness,Loudness,Speechiness,Tempo,Time_signature,Key,Duration_ms,Mode,Speechiness.1,Valence
428,The Real Thing - Radio Edit,The Real Thing (Radio Edit),Tony Di Bart,1994-04-04,215066,0,0.0361,0.711,0.698,0.228,0.101,-11.159,0.037,128.814,0,4,215067,0,0.037,0.605
429,Always,I Say I Say I Say,Erasure,1994-05-16,237840,1,0.285,0.601,0.731,1.95e-06,0.24,-9.9,0.0285,103.027,0,11,237840,1,0.0285,0.322
430,Everything Changes,Everything Changes (Expanded Edition),Take That,1993-10-25,214906,0,0.00884,0.707,0.778,3.31e-05,0.0536,-7.054,0.0508,127.694,0,10,214907,0,0.0508,0.625
431,Right Beside You,Whaler,Sophie B. Hawkins,1994-07-21,286666,0,0.209,0.603,0.885,0.00296,0.0634,-6.986,0.0465,124.964,0,5,286667,0,0.0465,0.528
432,Stay Another Day,Steam,East 17,1994-01-01,267133,1,0.578,0.524,0.489,0.000624,0.186,-7.828,0.0274,127.768,0,8,267133,1,0.0274,0.443
433,When I Come Around,Dookie,Green Day,1994-02-01,178000,1,0.0175,0.531,0.909,0.0,0.231,-4.236,0.034,97.546,0,10,178000,1,0.034,0.814
434,Shine,"Hints, Allegations & Things Left Unsaid",Collective Soul,1994-03-22,306040,0,0.294,0.54,0.423,0.0884,0.152,-8.799,0.0283,150.135,0,7,306040,1,0.0283,0.353
435,Buddy Holly,Weezer,Weezer,1994-05-10,159226,1,0.00271,0.556,0.92,0.00021,0.117,-4.606,0.0367,121.138,0,7,159227,1,0.0367,0.771
436,Here Comes the Hotstepper,On Your 90's Radio,Various Artists,2001-01-01,244813,1,0.0328,0.852,0.537,0.000248,0.229,-7.424,0.114,100.369,0,4,244813,1,0.114,0.483
437,Shine,Cool Summer Reggae,Aswad,2002-01-01,226466,1,0.0153,0.764,0.87,0.00222,0.0545,-5.54,0.0519,104.982,0,8,226467,0,0.0519,0.532
438,Glycerine - Remastered,Sixteen Stone (Remastered),Bush,1994-12-06,266493,1,0.0342,0.421,0.335,0.00236,0.0944,-11.384,0.0324,114.227,0,11,266493,1,0.0324,0.0889
439,Rock And Roll Dreams Come Through,Bat Out Of Hell II: Back Into Hell...,Meat Loaf,1993,350800,0,0.235,0.655,0.684,1.02e-05,0.165,-8.453,0.0298,112.258,0,11,350800,1,0.0298,0.487
440,Black Hole Sun,Superunknown (Deluxe Edition),Soundgarden,1994-03-09,318586,1,0.000217,0.35,0.828,0.000161,0.0774,-5.373,0.041,105.435,0,7,318587,1,0.041,0.147
441,Around the World,Steam,East 17,1994-01-01,273733,0,0.0542,0.53,0.789,0.000971,0.293,-8.457,0.0384,176.229,0,11,273733,1,0.0384,0.709
442,Don't Turn Around,The Sign,Ace of Base,1993-12-24,230186,1,0.00104,0.745,0.771,0.387,0.0574,-8.231,0.0755,95.623,0,8,230187,0,0.0755,0.752
443,Cantaloop (Flip Fantasia),Hand On The Torch,Us3,1993-01-01,279360,1,0.109,0.851,0.651,1.2e-05,0.124,-11.515,0.0601,115.992,0,11,279360,0,0.0601,0.942
444,7 Seconds (feat. Neneh Cherry),The Guide (Wommat),Youssou N'Dour,1994-05-20,306226,0,0.0771,0.679,0.659,4.12e-06,0.316,-10.826,0.0269,154.171,0,7,306227,0,0.0269,0.528
445,No Good (Start the Dance) [Remastered],More Music for the Jilted Generation,The Prodigy,1994,377826,0,0.00567,0.64,0.992,0.802,0.164,-6.974,0.0523,144.994,0,11,377827,0,0.0523,0.17
446,Sweets For My Sweet,100 Store 90'er Hits,Various Artists,2016-07-15,204440,0,0.0803,0.717,0.906,0.00748,0.158,-8.155,0.0456,116.886,0,9,204440,0,0.0456,0.957
447,I'll Make Love To You,II,Boyz II Men,1994-08-30,236760,1,0.103,0.559,0.49,0.0,0.099,-8.06,0.0247,142.447,2,8,236760,1,0.0247,0.202
448,Loser,Mellow Gold,Beck,1994-03-01,235000,1,0.0399,0.615,0.616,0.000129,0.348,-10.39,0.133,170.776,0,7,235000,0,0.133,0.836
449,Confide In Me - Master Mix,Kylie Minogue,Kylie Minogue,1994-09-19,351866,0,0.0466,0.518,0.639,0.198,0.0741,-9.792,0.0381,102.885,0,10,351867,1,0.0381,0.352
450,Without You,Music Box,Mariah Carey,1993-08-31,213666,1,0.323,0.576,0.526,2.01e-06,0.0548,-8.524,0.0325,122.06,0,7,213667,1,0.0325,0.147
451,Steam,Steam,East 17,1994-01-01,203026,0,0.0269,0.698,0.891,2.11e-06,0.304,-5.235,0.0568,116.143,0,4,203027,1,0.0568,0.763
452,I Miss You,The Album 2nd Edition,Haddaway,1993-11-29,254600,0,0.239,0.578,0.541,0.00028,0.192,-13.334,0.0291,149.847,0,7,254600,1,0.0291,0.617
453,Saturday Night - Radio Mix,Saturday Night Single,Whigfield,1994-09-19,247405,1,0.0449,0.728,0.784,0.0918,0.0964,-11.776,0.0379,129.981,0,10,247406,1,0.0379,0.964
454,Everybody,Greatest Hits,DJ BoBo,2006-03-07,229893,0,0.0503,0.739,0.759,0.00137,0.274,-10.226,0.047,100.029,0,9,229893,0,0.047,0.67
455,If You Go,"Heart, Soul & A Voice",Jon Secada,1994-01-01,273933,0,0.0884,0.621,0.819,0.0,0.134,-8.002,0.0332,106.017,0,4,273933,1,0.0332,0.485
456,About A Girl,MTV Unplugged In New York,Nirvana,1994-11-01,218000,1,0.14,0.606,0.769,1.64e-05,0.841,-9.215,0.0713,121.042,0,11,218000,0,0.0713,0.593
457,Baby Baby,The Rhythm of the Night,Corona,1994,228013,1,0.00336,0.639,0.869,0.002,0.0576,-8.479,0.0311,133.033,0,4,228013,1,0.0311,0.562
458,Girls & Boys - 2012 Remaster,Parklife,Blur,1994-04-25,291200,0,0.0138,0.688,0.936,0.0,0.068,-6.658,0.0377,120.135,0,4,291200,0,0.0377,0.924
459,Let the Beat Control Your Body,Unlimited Hits & Remixes,2 Unlimited,2014-05-05,218844,0,0.00603,0.671,0.962,3.29e-05,0.0501,-7.469,0.0452,141.953,0,7,218845,1,0.0452,0.967
460,Spoonman,Superunknown (20th Anniversary),Soundgarden,1994-03-09,246920,1,2.17e-05,0.457,0.902,0.196,0.258,-5.624,0.0313,92.711,0,4,246920,1,0.0313,0.834
461,Chains,Don't Ask,Tina Arena,1994-04-30,262133,0,0.267,0.684,0.464,0.00103,0.0994,-9.37,0.0298,92.132,0,11,262133,0,0.0298,0.55
462,Think Twice,The Colour Of My Love,Céline Dion,1993-11-09,288000,1,0.387,0.547,0.397,0.0,0.14,-10.463,0.0271,134.346,0,8,288000,0,0.0271,0.277
463,Mary Jane's Last Dance,Greatest Hits,Tom Petty and the Heartbreakers,2008-05-20,273600,1,0.0272,0.464,0.655,1.34e-06,0.328,-9.058,0.0608,169.515,0,4,273600,0,0.0608,0.531
464,Two Can Play That Game - Radio Edit,Two Can Play That Game,Bobby Brown,1992-08-25,211800,1,0.0104,0.609,0.905,0.0,0.409,-6.792,0.0307,121.434,0,11,211800,0,0.0307,0.878
465,Just a Step from Heaven,Always And Forever,Eternal,1993-11-29,233906,0,0.0543,0.648,0.788,9.91e-06,0.319,-7.463,0.0964,193.27,0,7,233907,0,0.0964,0.93
466,Move On Baby,U got 2 know album,Cappella,2009-11-01,291800,0,0.18,0.654,0.886,0.156,0.103,-11.033,0.0436,133.03,0,4,291800,0,0.0436,0.626
467,Beautiful In My Eyes,Painted Desert Serenade,Joshua Kadison,1993-01-01,249493,1,0.595,0.582,0.381,1.1e-05,0.132,-10.045,0.0256,141.947,0,11,249493,1,0.0256,0.283
468,Secret,Bedtime Stories,Madonna,1994-10-25,304933,1,0.101,0.813,0.655,6.65e-05,0.146,-7.884,0.0262,99.982,0,7,304933,1,0.0262,0.46
469,Swamp Thing,90s 100 Hits,Various Artists,2014-11-28,237520,0,0.00219,0.666,0.942,0.88,0.0589,-9.79,0.0403,134.811,0,8,237520,1,0.0403,0.723
470,Regulate,Regulate… G Funk Era,Warren G,1994-06-07,248866,1,0.304,0.849,0.521,1.65e-06,0.115,-12.999,0.216,95.265,0,10,248867,0,0.216,0.763
471,"Turn On, Tune In, Cop Out - Radio Edit",Drive-Thru Booty,Freak Power,1994-01-01,264093,1,0.211,0.78,0.763,0.0971,0.0931,-8.14,0.0366,119.97,0,9,264093,0,0.0366,0.967
472,Love Sneakin' Up On You,Longing In Their Hearts,Bonnie Raitt,1994-01-01,221626,0,0.0171,0.641,0.63,2.91e-06,0.0559,-10.321,0.0297,94.654,0,4,221627,1,0.0297,0.665
473,Baby Come Back,The Best Of Pato Banton,Pato Banton,2008-01-01,233866,0,2.93e-05,0.854,0.797,0.00801,0.0832,-6.004,0.0331,124.879,0,4,233867,1,0.0331,0.817
474,Crazy,Get A Grip,Aerosmith,1993-01-01,316693,1,0.0868,0.37,0.866,0.0,0.137,-3.879,0.0384,162.086,2,7,316693,0,0.0384,0.427
475,"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix",Move It!,Reel 2 Real,1994-10-10,230760,1,0.0394,0.863,0.781,0.000292,0.125,-8.546,0.0785,122.938,0,11,230760,0,0.0785,0.764
476,Now And Forever,Paid Vacation,Richard Marx,1994-01-01,214826,1,0.661,0.441,0.258,0.0,0.106,-11.227,0.0276,77.988,1,4,214827,1,0.0276,0.172
477,Sabotage,Ill Communication,Beastie Boys,1994-05-23,178440,1,0.032,0.324,0.938,0.0321,0.0961,-7.332,0.102,168.131,0,7,178440,0,0.102,0.543
478,100% Pure Love,The Best Of Crystal Waters,Crystal Waters,1998-08-11,278626,1,0.0843,0.811,0.725,0.0059,0.0567,-7.203,0.0491,120.242,0,7,278627,1,0.0491,0.698
479,Sweet Dreams,Greatest Hits,La Bouche,2007,204586,1,0.0784,0.656,0.956,0.0247,0.0923,-5.647,0.0536,133.713,0,10,204587,0,0.0536,0.831
480,Sukiyaki,Best Love Songs Of All Time,Various Artists,2019-06-21,162093,0,0.749,0.363,0.388,0.0,0.363,-8.608,0.034,76.099,0,10,162093,0,0.034,0.348
481,Rock My Heart,The Album 2nd Edition,Haddaway,1993-11-29,250293,0,0.00535,0.608,0.92,0.0289,0.0948,-7.173,0.0368,129.981,0,11,250293,0,0.0368,0.657
482,Because Of Love,Janet,Janet Jackson,1993-05-18,260906,0,0.287,0.764,0.878,0.00356,0.18,-5.647,0.0523,112.37,0,11,260907,0,0.0523,0.825
483,Let Me Be Your Fantasy - Radio Edit,Let Me Be Your Fantasy EP,Baby D,1992-01-01,231493,1,0.0401,0.644,0.79,0.00233,0.322,-11.026,0.0343,134.998,0,8,231493,0,0.0343,0.302
484,Endless Love (with Mariah Carey),Songs,Luther Vandross,1994-09-20,259666,1,0.747,0.231,0.477,2.61e-06,0.122,-7.748,0.029,95.969,0,9,259667,1,0.029,0.235
485,Closer,The Downward Spiral (Deluxe Edition),Nine Inch Nails,1994-03-08,373306,1,0.000273,0.546,0.724,0.667,0.133,-8.639,0.0427,89.991,0,9,373307,0,0.0427,0.586
486,Trouble,We Are Shampoo,Shampoo,1994,193141,0,0.025,0.796,0.971,0.00226,0.32,-6.339,0.0882,133.159,0,5,193142,1,0.0882,0.963
487,Sure,Nobody Else (Expanded Edition),Take That,1995-05-08,221133,0,0.274,0.69,0.841,0.0,0.0767,-7.248,0.0611,91.152,0,8,221133,1,0.0611,0.836
488,Go On Move (feat. The Mad Stuntman),Move It!,Reel 2 Real,1994-10-10,253333,0,0.227,0.831,0.806,0.00533,0.0801,-8.666,0.0489,125.295,0,4,253333,1,0.0489,0.682
489,I Luv U Baby - Edit,I Luv U Baby,The Original,2004-05-24,213000,1,0.104,0.691,0.832,7.91e-06,0.267,-6.403,0.0328,126.827,0,7,213000,1,0.0328,0.899
490,You Don't Know How It Feels,Wildflowers,Tom Petty,1994-10-21,289440,1,0.119,0.765,0.502,0.0011,0.171,-7.393,0.0321,144.204,0,5,289440,1,0.0321,0.836
491,The Real Thing,Real Things,2 Unlimited,1994-06-06,218645,0,0.00828,0.587,0.969,0.00568,0.212,-9.392,0.0873,143.933,0,8,218645,1,0.0873,0.46
492,You Mean the World to Me,Toni Braxton,Toni Braxton,1993-07-13,296400,0,0.1,0.595,0.735,9.62e-06,0.104,-6.648,0.047,167.662,0,10,296400,1,0.047,0.521
493,Dreamer - Janice Robinson Vocal,Don’t Stop Movin’,Livin' Joy,1997-01-01,223535,1,0.0131,0.74,0.762,0.0,0.283,-7.166,0.0418,127.372,0,11,223535,0,0.0418,0.832
494,If You Love Me,From The Bottom Up,Brownstone,1993-06-01,304160,1,0.225,0.687,0.583,0.0,0.105,-10.224,0.0639,95.138,0,4,304160,1,0.0639,0.211
495,The Man Who Sold The World,MTV Unplugged In New York,Nirvana,1994-11-01,261093,1,0.425,0.483,0.753,0.000142,0.257,-8.937,0.0832,115.102,0,7,261093,0,0.0832,0.42
496,Bop Gun (One Nation),Lethal Injection,Ice Cube,1993-12-07,665826,0,0.0886,0.843,0.677,0.000238,0.263,-9.4,0.0533,103.182,0,7,665827,1,0.0533,0.77
497,When Can I See You,For The Cool In You,Babyface,1993-08-24,229600,1,0.257,0.754,0.472,2.09e-05,0.121,-11.787,0.0807,169.199,0,7,229600,1,0.0807,0.613
498,No More (I Can't Stand It),To The Maxximum,Maxx,1994,281933,0,0.0102,0.763,0.791,0.0743,0.271,-11.246,0.0357,137.948,0,9,281933,1,0.0357,0.603
499,Renaissance - Album Mix,Elegant Slumming,M People,1993-03-05,320360,0,0.00983,0.811,0.808,0.00211,0.358,-8.105,0.0305,123.893,0,11,320360,1,0.0305,0.779
500,Gangsta's Paradise,Gangsta's Paradise,Coolio,1995-11-07,240693,0,0.0655,0.647,0.514,0.0,0.398,-10.05,0.0593,79.974,0,7,240693,1,0.0593,0.387
501,Wonderwall,(What's the Story) Morning Glory?,Oasis,1995-10-02,258906,0,0.00219,0.404,0.852,0.0,0.13,-5.591,0.0367,174.319,0,8,258907,1,0.0367,0.482
502,Self Esteem,Greatest Hits,The Offspring,2005-06-21,257760,0,0.0173,0.458,0.912,0.0,0.363,-3.666,0.0618,104.522,0,11,257760,1,0.0618,0.611
503,Waterfalls,Crazysexycool,TLC,1994-11-15,279506,1,0.311,0.769,0.505,7.49e-05,0.0777,-7.345,0.0829,171.804,0,7,279507,1,0.0829,0.757
504,Breakfast At Tiffany's,Home,Deep Blue Something,1995-01-01,257186,0,0.113,0.624,0.826,0.0,0.0938,-5.534,0.0287,110.368,0,8,257187,1,0.0287,0.526
505,Back for Good - Radio Mix,Nobody Else (Expanded Edition),Take That,1995-05-08,242266,1,0.31,0.601,0.504,0.0,0.137,-9.761,0.0284,78.986,0,11,242267,1,0.0284,0.564
506,Only Wanna Be with You,Cracked Rear View,Hootie & The Blowfish,1994-07-01,229586,1,0.107,0.49,0.873,5.19e-06,0.118,-5.861,0.0355,103.272,0,7,229587,1,0.0355,0.513
507,Fantasy,Daydream,Mariah Carey,1995-10-03,243493,1,0.139,0.669,0.727,0.0,0.123,-7.588,0.0353,102.322,0,4,243493,1,0.0353,0.807
508,Walking in Memphis,It's a Man's World,Cher,1995-11-06,235493,1,0.587,0.696,0.679,0.0,0.165,-7.363,0.0305,128.982,0,8,235493,1,0.0305,0.527
509,"I'll Be There for You - Theme From ""Friends""",L.P.,The Rembrandts,1995-05-02,188359,1,0.0717,0.32,0.917,0.0,0.169,-5.903,0.0771,190.757,0,5,188360,1,0.0771,0.715
510,You Gotta Be,I Ain't Movin',Des'ree,1994-04-27,245200,1,0.211,0.623,0.669,3.2e-06,0.111,-9.985,0.0412,94.028,0,11,245200,1,0.0412,0.492
511,Roll To Me,Twisted,Del Amitri,1995-01-01,132306,1,0.418,0.567,0.821,0.0,0.108,-5.894,0.0371,150.106,0,7,132307,1,0.0371,0.895
512,Strong Enough,Tuesday Night Music Club,Sheryl Crow,1993-08-03,189826,1,0.796,0.58,0.265,0.00019,0.11,-15.267,0.0317,154.595,2,8,189827,1,0.0317,0.583
513,Father And Son,Said And Done,Boyzone,1995-08-21,166760,1,0.324,0.522,0.319,0.0,0.15,-12.802,0.0274,146.036,0,11,166760,1,0.0274,0.153
514,Over My Shoulder,Beggar On a Beach of Gold,Mike & The Mechanics,1995-03-06,217200,1,0.126,0.631,0.826,0.0,0.0648,-7.856,0.0322,92.353,0,11,217200,0,0.0322,0.82
515,Don't Look Back in Anger,(What's the Story) Morning Glory?,Oasis,1995-10-02,287826,0,0.0303,0.349,0.913,8.06e-06,0.12,-3.603,0.0691,164.005,0,11,287827,1,0.0691,0.225
516,I'd Lie For You (And That's The Truth),Welcome To The Neighbourhood,Meat Loaf,1995,401008,0,0.553,0.418,0.596,0.0,0.225,-8.814,0.0368,171.025,0,8,401009,1,0.0368,0.283
517,Give Me One Reason,New Beginning,Tracy Chapman,1995-10-31,268333,1,0.602,0.608,0.419,7.58e-06,0.108,-10.016,0.0331,100.22,0,10,268333,1,0.0331,0.602
518,Runaway,Design Of A Decade 1986/1996,Janet Jackson,1995-10-10,214933,0,0.364,0.787,0.86,0.041,0.0612,-4.974,0.0344,109.154,0,7,214933,1,0.0344,0.862
519,Never Forget,Nobody Else (Expanded Edition),Take That,1995-05-08,311133,0,0.319,0.582,0.653,6.45e-05,0.953,-10.494,0.0252,91.169,0,5,311133,1,0.0252,0.638
520,Love Me For A Reason,Said And Done,Boyzone,1995-08-21,218133,1,0.063,0.431,0.721,0.0,0.12,-10.123,0.0528,156.12,0,5,218133,1,0.0528,0.668
521,Just A Girl,Tragic Kingdom,No Doubt,1995-10-10,208400,0,0.0799,0.641,0.914,6.54e-05,0.132,-4.798,0.05,107.996,0,8,208400,1,0.05,0.723
522,Tell Me When,Octopus,The Human League,1995,291026,0,0.00582,0.688,0.888,9.23e-05,0.0565,-5.841,0.0305,120.021,0,7,291027,1,0.0305,0.728
523,Disco 2000,Different Class,Pulp,1995-10-30,273573,1,0.0132,0.565,0.902,0.0,0.0561,-7.579,0.0725,133.11,0,4,273573,0,0.0725,0.544
524,Whoops Now - Single Version,Whoops Now,Janet Jackson,1995,220731,0,0.427,0.796,0.845,0.000506,0.0567,-5.365,0.0374,130.231,0,4,220731,1,0.0374,0.904
525,Roll with It,(What's the Story) Morning Glory?,Oasis,1995-10-02,239826,0,0.00397,0.228,0.985,0.000221,0.299,-1.78,0.103,126.663,0,5,239827,0,0.103,0.182
526,Take a Bow,Something to Remember,Madonna,1995-11-17,321360,0,0.416,0.567,0.369,3.44e-06,0.0664,-8.857,0.0258,79.98,0,7,321360,1,0.0258,0.303
527,Independent Love Song,Naked,Scarlet,1995-02-27,234826,0,0.432,0.452,0.298,0.0,0.0892,-11.318,0.0283,79.022,0,9,234827,0,0.0283,0.23
528,Secret Garden,Greatest Hits,Bruce Springsteen,1995-02-27,266613,1,0.576,0.52,0.329,0.0418,0.12,-14.224,0.0266,86.857,0,11,266613,1,0.0266,0.118
529,Run-Around,Four,Blues Traveler,1994-01-01,279800,1,0.0865,0.629,0.867,0.0,0.126,-7.307,0.0603,151.695,0,4,279800,1,0.0603,0.876
530,Fairground,Life (Expanded Version),Simply Red,1995,333333,1,0.208,0.718,0.731,0.2,0.083,-6.454,0.042,122.839,0,7,333333,1,0.042,0.619
531,Stay Another Day,Steam,East 17,1994-01-01,267133,1,0.578,0.524,0.489,0.000624,0.186,-7.828,0.0274,127.768,0,8,267133,1,0.0274,0.443
532,Set You Free,Set You Free,N-Trance,1995-01-14,262093,0,0.000705,0.416,0.953,0.000132,0.286,-7.81,0.0762,140.082,0,7,262093,1,0.0762,0.36
533,Somewhere Somehow,Picture This (20th Anniversary Edition),Wet Wet Wet,1995-04-10,231253,0,0.115,0.532,0.514,0.0,0.11,-8.759,0.0285,140.038,0,5,231253,1,0.0285,0.206
534,When Love And Hate Collide,The Story So Far: The Best Of Def Leppard,Def Leppard,2018-11-30,256866,1,0.0111,0.477,0.564,0.0,0.254,-8.582,0.028,67.965,0,8,256867,1,0.028,0.292
535,"No More ""I Love You's""",Medusa,Annie Lennox,1995,291333,1,0.517,0.372,0.57,2.57e-06,0.141,-7.305,0.0305,179.907,0,11,291333,1,0.0305,0.234
536,Lifted,Ocean Drive,Lighthouse Family,1995-01-01,271866,1,0.0269,0.608,0.816,0.000618,0.0539,-9.19,0.0345,96.792,0,5,271867,0,0.0345,0.858
537,Hook,Four,Blues Traveler,1994-01-01,289200,1,0.0369,0.562,0.742,1.47e-06,0.102,-6.355,0.0346,165.6,0,5,289200,1,0.0346,0.793
538,Mysterious Girl - Radio Edit,Natural (Eastwest Release),Peter Andre,1997-01-10,217106,1,0.14,0.655,0.822,0.0,0.298,-5.755,0.211,171.983,0,7,217107,1,0.211,0.859
539,Colors Of The Wind - End Title,Pocahontas Original Soundtrack (English Version),Various Artists,1995-01-01,257933,1,0.365,0.574,0.238,1.32e-05,0.126,-18.072,0.0476,84.018,0,4,257933,0,0.0476,0.126
540,Send Me on My Way,Music From Party of Five,Various Artists,1996-11-12,263333,1,0.114,0.5,0.681,4.01e-05,0.139,-9.556,0.0672,119.46,0,11,263333,1,0.0672,0.745
541,I Can Love You Like That,And the Music Speaks,All-4-One,1995-01-01,257959,1,0.0811,0.635,0.712,0.0,0.322,-4.998,0.0283,91.024,0,7,257960,1,0.0283,0.423
542,I Believe,Home,Blessid Union Of Souls,1995-01-01,267447,0,0.653,0.491,0.458,0.0,0.164,-8.159,0.027,141.724,0,10,267493,1,0.027,0.238
543,Common People,Different Class,Pulp,1995-10-30,351626,1,0.0057,0.314,0.797,5.59e-05,0.0718,-9.026,0.038,145.393,0,11,351627,1,0.038,0.569
544,The World I Know,Collective Soul,Collective Soul,1995-03-14,255466,0,0.0515,0.514,0.704,0.00219,0.228,-4.724,0.0261,76.975,0,8,255467,1,0.0261,0.386
545,Think of You - Radio Edit,Think of You - Single,Whigfield,1995-05-08,243069,1,0.0631,0.696,0.806,0.00155,0.0343,-11.141,0.0361,127.395,0,7,243069,1,0.0361,0.871
546,The Sweetest Days,Greatest Hits,Vanessa Williams,1998-01-01,211253,0,0.704,0.483,0.277,0.000921,0.174,-10.921,0.0281,139.714,0,9,211253,1,0.0281,0.0692
547,Don't Give Me Your Life - Radio Version,Alex Party,Alex Party,1995,197591,0,0.119,0.678,0.88,0.0,0.0615,-7.396,0.0358,127.83,0,11,197591,1,0.0358,0.901
548,Country House - 2012 Remaster,The Great Escape (Special Edition),Blur,1995-09-11,236960,1,0.205,0.331,0.885,0.0,0.123,-6.606,0.0923,175.293,0,5,236960,1,0.0923,0.589
549,"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",The Best Of 1990-2000,U2,2002-01-01,284600,1,7.47e-05,0.368,0.852,0.258,0.218,-6.978,0.0433,171.692,0,9,284600,0,0.0433,0.347
550,"Tonight, Tonight - Remastered 2012",Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,254626,1,6.28e-05,0.277,0.67,0.751,0.237,-9.381,0.0376,148.342,0,7,254627,1,0.0376,0.217
551,Spiderwebs,Tragic Kingdom,No Doubt,1995-10-10,266733,0,0.0376,0.487,0.852,4.06e-06,0.0995,-7.184,0.0489,143.258,0,9,266733,1,0.0489,0.666
552,Heaven For Everyone - Remastered 2011,Made In Heaven (2011 Remaster),Queen,1995-11-06,336160,1,0.29,0.593,0.425,1.34e-06,0.167,-9.775,0.0288,110.208,0,11,336160,1,0.0288,0.268
553,December,Collective Soul,Collective Soul,1995-03-14,285000,0,0.589,0.684,0.645,0.00432,0.18,-5.707,0.0272,121.995,0,11,285000,1,0.0272,0.366
554,This Is How We Do It,This Is How We Do It,Montell Jordan,1995-01-01,277293,1,0.042,0.775,0.606,0.0,0.523,-9.86,0.12,103.648,0,11,277293,1,0.12,0.788
555,So Good - Radio Edit,Said And Done,Boyzone,1995-08-21,182840,0,0.0238,0.638,0.878,1.89e-05,0.0896,-10.237,0.0592,106.048,0,8,182840,0,0.0592,0.653
556,"U Sure Do (Strike 7"" Mix)",U Sure Do,Strike,1994,229171,1,0.0189,0.683,0.93,0.38,0.344,-7.878,0.0499,127.969,0,11,229172,0,0.0499,0.826
557,You Want This,Janet,Janet Jackson,1993-05-18,305666,0,0.113,0.844,0.843,0.0439,0.1,-5.763,0.0551,111.893,0,9,305667,0,0.0551,0.647
558,Alright,I Should Coco,Supergrass,1995-05-15,180880,1,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,145.92,0,8,180880,0,0.0775,0.701
559,Sunday Morning,Tragic Kingdom,No Doubt,1995-10-10,272173,0,0.0099,0.58,0.803,2.06e-05,0.118,-5.419,0.0312,157.138,0,8,272173,1,0.0312,0.793
560,Run Away,Another Night,Real McCoy,1995-03-28,244133,1,0.000683,0.721,0.924,0.00382,0.0817,-8.282,0.0396,130.947,0,7,244133,1,0.0396,0.694
561,Water Runs Dry,II,Boyz II Men,1994-08-30,201386,1,0.462,0.587,0.369,0.0,0.079,-12.994,0.0262,89.599,0,11,201387,1,0.0262,0.529
562,Missing - Todd Terry Remix / Radio Edit,Like The Deserts Miss The Rain,Everything But The Girl,2002-01-01,235026,1,0.0217,0.739,0.853,0.00357,0.057,-6.539,0.0296,123.509,0,5,235027,0,0.0296,0.652
563,Too Much Love Will Kill You - Remastered 2011,Made In Heaven (2011 Remaster),Queen,1995-11-06,259213,1,0.58,0.385,0.395,6.31e-05,0.159,-7.602,0.0313,72.933,0,4,259213,1,0.0313,0.21
564,Who Will Save Your Soul,Pieces Of You,Jewel,1995-02-28,239293,0,0.704,0.686,0.467,0.00103,0.13,-9.712,0.0419,126.179,0,4,239293,1,0.0419,0.753
565,Hold On,Jamie Walters,Jamie Walters,1994-09-13,264560,0,0.0319,0.571,0.553,0.0,0.109,-8.584,0.0279,126.215,0,11,264560,1,0.0279,0.209
566,A Girl Like You,Gorgeous George,Edwyn Collins,1994,236583,1,0.0243,0.619,0.781,0.000286,0.402,-7.455,0.0393,126.267,0,11,236583,0,0.0393,0.533
567,On Bended Knee,II,Boyz II Men,1994-08-30,329800,1,0.377,0.632,0.513,0.0,0.118,-8.246,0.0336,116.632,0,7,329800,1,0.0336,0.185
568,You'll See,Something to Remember,Madonna,1995-11-17,281066,1,0.479,0.602,0.545,0.000214,0.0975,-9.972,0.0311,89.786,0,8,281067,0,0.0311,0.235
569,Two Can Play That Game - Radio Edit,Two Can Play That Game,Bobby Brown,1992-08-25,211800,1,0.0104,0.609,0.905,0.0,0.409,-6.792,0.0307,121.434,0,11,211800,0,0.0307,0.878
570,Creep,Crazysexycool,TLC,1994-11-15,268533,1,0.0193,0.811,0.458,1.41e-06,0.0526,-9.688,0.0402,92.94,0,11,268533,0,0.0402,0.797
571,"Exhale (Shoop Shoop) - from ""Waiting to Exhale"" - Original Soundtrack",Exhale,Whitney Houston,1995-11-07,204333,1,0.401,0.661,0.394,0.0,0.119,-9.032,0.0318,137.954,0,7,204333,1,0.0318,0.107
572,You Don't Fool Me - Remastered 2011,Made In Heaven (Deluxe Edition 2011 Remaster),Queen,1995-11-06,324853,1,0.101,0.591,0.829,8.63e-05,0.385,-6.499,0.036,121.964,0,8,324853,0,0.036,0.574
573,Free As A Bird - Anthology 1 Version,Anthology 1,The Beatles,1995-11-20,265293,0,0.0438,0.474,0.503,0.016,0.153,-9.074,0.0279,72.323,0,5,265293,1,0.0279,0.457
574,Shy Guy,Tougher Than Love,Diana King,1995-04-14,258560,1,0.0128,0.714,0.825,0.000569,0.049,-5.447,0.0751,94.074,0,10,258560,0,0.0751,0.751
575,Mis-Shapes,Different Class,Pulp,1995-10-30,226680,0,0.0145,0.32,0.871,0.0,0.4,-6.733,0.0606,147.56,0,8,226680,1,0.0606,0.662
